t mart.s0 mart.sn aust.s0 aust.sn
2.901451e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.906453e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.911456e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.916458e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.921461e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.926463e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.931466e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.936468e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.941471e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.946473e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.951476e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.956478e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.961481e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.966483e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.971486e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.976488e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.981491e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.986493e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.991496e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.996498e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.001501e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.006503e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.011506e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.016508e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.021511e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.026513e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
