coupled_FoFo_375_mu20e3.log @ arthur-tud
2019-07-15T12:50:35

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 38000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int3: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

 2180: t=1.090, cavg*=0.998387, r_mart=1.45498, r_aus1=0.0140389, r_fer1=0, r_aus2=0.0115161, r_fer2=0
 2200: t=1.100, cavg*=0.998384, r_mart=1.45499, r_aus1=0.0140421, r_fer1=0, r_aus2=0.0115436, r_fer2=0
 2220: t=1.110, cavg*=0.998381, r_mart=1.455, r_aus1=0.0140452, r_fer1=0, r_aus2=0.011571, r_fer2=0
 2240: t=1.120, cavg*=0.998378, r_mart=1.45502, r_aus1=0.0140484, r_fer1=0, r_aus2=0.0115982, r_fer2=0
 2260: t=1.130, cavg*=0.998376, r_mart=1.45503, r_aus1=0.0140515, r_fer1=0, r_aus2=0.0116254, r_fer2=0
 2280: t=1.140, cavg*=0.998373, r_mart=1.45504, r_aus1=0.0140547, r_fer1=0, r_aus2=0.0116525, r_fer2=0
 2300: t=1.150, cavg*=0.99837, r_mart=1.45505, r_aus1=0.0140578, r_fer1=0, r_aus2=0.0116794, r_fer2=0
 2320: t=1.160, cavg*=0.998367, r_mart=1.45507, r_aus1=0.0140609, r_fer1=0, r_aus2=0.0117063, r_fer2=0
 2340: t=1.170, cavg*=0.998365, r_mart=1.45508, r_aus1=0.0140641, r_fer1=0, r_aus2=0.011733, r_fer2=0
 2360: t=1.180, cavg*=0.998362, r_mart=1.45509, r_aus1=0.0140672, r_fer1=0, r_aus2=0.0117596, r_fer2=0
 2380: t=1.190, cavg*=0.99836, r_mart=1.45511, r_aus1=0.0140703, r_fer1=0, r_aus2=0.0117862, r_fer2=0
 2400: t=1.200, cavg*=0.998357, r_mart=1.45512, r_aus1=0.0140734, r_fer1=0, r_aus2=0.0118126, r_fer2=0
 2420: t=1.210, cavg*=0.998354, r_mart=1.45513, r_aus1=0.0140766, r_fer1=0, r_aus2=0.0118389, r_fer2=0
 2440: t=1.220, cavg*=0.998352, r_mart=1.45514, r_aus1=0.0140797, r_fer1=0, r_aus2=0.0118652, r_fer2=0
 2460: t=1.230, cavg*=0.998349, r_mart=1.45516, r_aus1=0.0140828, r_fer1=0, r_aus2=0.0118913, r_fer2=0
 2480: t=1.240, cavg*=0.998347, r_mart=1.45517, r_aus1=0.0140859, r_fer1=0, r_aus2=0.0119173, r_fer2=0
 2500: t=1.250, cavg*=0.998344, r_mart=1.45518, r_aus1=0.014089, r_fer1=0, r_aus2=0.0119432, r_fer2=0
 2520: t=1.260, cavg*=0.998342, r_mart=1.45519, r_aus1=0.0140921, r_fer1=0, r_aus2=0.0119691, r_fer2=0
 2540: t=1.270, cavg*=0.99834, r_mart=1.45521, r_aus1=0.0140952, r_fer1=0, r_aus2=0.0119948, r_fer2=0
 2560: t=1.280, cavg*=0.998337, r_mart=1.45522, r_aus1=0.0140983, r_fer1=0, r_aus2=0.0120204, r_fer2=0
 2580: t=1.290, cavg*=0.998335, r_mart=1.45523, r_aus1=0.0141014, r_fer1=0, r_aus2=0.012046, r_fer2=0
 2600: t=1.300, cavg*=0.998332, r_mart=1.45524, r_aus1=0.0141045, r_fer1=0, r_aus2=0.0120714, r_fer2=0
 2620: t=1.310, cavg*=0.99833, r_mart=1.45525, r_aus1=0.0141075, r_fer1=0, r_aus2=0.0120968, r_fer2=0
 2640: t=1.320, cavg*=0.998328, r_mart=1.45527, r_aus1=0.0141106, r_fer1=0, r_aus2=0.0121221, r_fer2=0
 2660: t=1.330, cavg*=0.998326, r_mart=1.45528, r_aus1=0.0141137, r_fer1=0, r_aus2=0.0121473, r_fer2=0
 2680: t=1.340, cavg*=0.998323, r_mart=1.45529, r_aus1=0.0141168, r_fer1=0, r_aus2=0.0121724, r_fer2=0
 2700: t=1.350, cavg*=0.998321, r_mart=1.4553, r_aus1=0.0141198, r_fer1=0, r_aus2=0.0121974, r_fer2=0
 2720: t=1.360, cavg*=0.998319, r_mart=1.45531, r_aus1=0.0141229, r_fer1=0, r_aus2=0.0122224, r_fer2=0
 2740: t=1.370, cavg*=0.998317, r_mart=1.45533, r_aus1=0.014126, r_fer1=0, r_aus2=0.0122472, r_fer2=0
 2760: t=1.380, cavg*=0.998314, r_mart=1.45534, r_aus1=0.014129, r_fer1=0, r_aus2=0.012272, r_fer2=0
 2780: t=1.390, cavg*=0.998312, r_mart=1.45535, r_aus1=0.0141321, r_fer1=0, r_aus2=0.0122967, r_fer2=0
 2800: t=1.400, cavg*=0.99831, r_mart=1.45536, r_aus1=0.0141351, r_fer1=0, r_aus2=0.0123213, r_fer2=0
 2820: t=1.410, cavg*=0.998308, r_mart=1.45537, r_aus1=0.0141382, r_fer1=0, r_aus2=0.0123459, r_fer2=0
