t mart aust
2.310116e+01 9.247060e-05 5.977419e-02
2.315116e+01 9.239804e-05 5.977423e-02
2.320116e+01 9.232571e-05 5.977428e-02
2.325116e+01 9.225362e-05 5.977432e-02
2.330117e+01 9.218175e-05 5.977436e-02
2.335117e+01 9.211011e-05 5.977441e-02
2.340117e+01 9.203870e-05 5.977445e-02
2.345117e+01 9.196752e-05 5.977449e-02
2.350118e+01 9.189656e-05 5.977454e-02
2.355118e+01 9.182583e-05 5.977458e-02
2.360118e+01 9.175532e-05 5.977462e-02
2.365118e+01 9.168503e-05 5.977466e-02
2.370119e+01 9.161497e-05 5.977470e-02
2.375119e+01 9.154512e-05 5.977474e-02
2.380119e+01 9.147549e-05 5.977478e-02
2.385119e+01 9.140608e-05 5.977482e-02
2.390120e+01 9.133689e-05 5.977485e-02
2.395120e+01 9.126792e-05 5.977489e-02
2.400120e+01 9.119915e-05 5.977493e-02
2.405120e+01 9.113057e-05 5.977497e-02
2.410121e+01 9.106215e-05 5.977500e-02
2.415121e+01 9.099391e-05 5.977504e-02
2.420121e+01 9.092587e-05 5.977508e-02
2.425121e+01 9.085802e-05 5.977511e-02
2.430122e+01 9.079036e-05 5.977515e-02
2.435122e+01 9.072289e-05 5.977518e-02
2.440122e+01 9.065562e-05 5.977522e-02
2.445122e+01 9.058855e-05 5.977525e-02
2.450123e+01 9.052167e-05 5.977528e-02
2.455123e+01 9.045499e-05 5.977532e-02
2.460123e+01 9.038851e-05 5.977535e-02
2.465123e+01 9.032222e-05 5.977538e-02
2.470124e+01 9.025613e-05 5.977541e-02
2.475124e+01 9.019024e-05 5.977545e-02
2.480124e+01 9.012454e-05 5.977548e-02
2.485124e+01 9.005903e-05 5.977551e-02
2.490125e+01 8.999372e-05 5.977554e-02
2.495125e+01 8.992860e-05 5.977557e-02
2.500125e+01 8.986367e-05 5.977560e-02
2.505125e+01 8.979894e-05 5.977563e-02
2.510126e+01 8.973440e-05 5.977566e-02
2.515126e+01 8.967005e-05 5.977569e-02
2.520126e+01 8.960588e-05 5.977571e-02
2.525126e+01 8.954191e-05 5.977574e-02
2.530127e+01 8.947812e-05 5.977577e-02
2.535127e+01 8.941453e-05 5.977580e-02
2.540127e+01 8.935111e-05 5.977582e-02
2.545127e+01 8.928789e-05 5.977585e-02
2.550128e+01 8.922484e-05 5.977588e-02
2.555128e+01 8.916199e-05 5.977590e-02
2.560128e+01 8.909931e-05 5.977593e-02
2.565128e+01 8.903682e-05 5.977595e-02
2.570129e+01 8.897451e-05 5.977598e-02
2.575129e+01 8.891237e-05 5.977600e-02
2.580129e+01 8.885042e-05 5.977603e-02
2.585129e+01 8.878865e-05 5.977605e-02
2.590130e+01 8.872705e-05 5.977607e-02
2.595130e+01 8.866563e-05 5.977610e-02
2.600130e+01 8.860439e-05 5.977612e-02
2.605130e+01 8.854330e-05 5.977614e-02
2.610131e+01 8.848235e-05 5.977617e-02
2.615131e+01 8.842157e-05 5.977619e-02
2.620131e+01 8.836094e-05 5.977621e-02
2.625131e+01 8.830048e-05 5.977623e-02
2.630132e+01 8.824018e-05 5.977625e-02
2.635132e+01 8.818004e-05 5.977627e-02
2.640132e+01 8.812007e-05 5.977629e-02
2.645132e+01 8.806026e-05 5.977631e-02
2.650133e+01 8.800062e-05 5.977633e-02
2.655133e+01 8.794114e-05 5.977635e-02
2.660133e+01 8.788182e-05 5.977637e-02
2.665133e+01 8.782266e-05 5.977639e-02
2.670134e+01 8.776367e-05 5.977641e-02
2.675134e+01 8.770484e-05 5.977643e-02
2.680134e+01 8.764617e-05 5.977645e-02
2.685134e+01 8.758767e-05 5.977646e-02
2.690135e+01 8.752932e-05 5.977648e-02
2.695135e+01 8.747113e-05 5.977650e-02
2.700135e+01 8.741311e-05 5.977652e-02
2.705135e+01 8.735524e-05 5.977653e-02
2.710136e+01 8.729753e-05 5.977655e-02
2.715136e+01 8.723998e-05 5.977657e-02
2.720136e+01 8.718259e-05 5.977658e-02
2.725136e+01 8.712535e-05 5.977660e-02
2.730137e+01 8.706827e-05 5.977661e-02
2.735137e+01 8.701134e-05 5.977663e-02
2.740137e+01 8.695457e-05 5.977664e-02
2.745137e+01 8.689795e-05 5.977666e-02
