t mart aus1 fer1 aus2 fer2
1.380069e+00 3.041583e-02 3.809325e-02 3.286764e-05 3.689524e-02 3.286173e-05
1.385069e+00 3.041079e-02 3.810339e-02 3.287677e-05 3.690481e-02 3.287089e-05
1.390070e+00 3.040576e-02 3.811353e-02 3.288586e-05 3.691437e-02 3.287999e-05
1.395070e+00 3.040073e-02 3.812364e-02 3.289490e-05 3.692392e-02 3.288905e-05
1.400070e+00 3.039572e-02 3.813374e-02 3.290389e-05 3.693346e-02 3.289805e-05
1.405070e+00 3.039071e-02 3.814383e-02 3.291283e-05 3.694299e-02 3.290701e-05
1.410071e+00 3.038572e-02 3.815390e-02 3.292172e-05 3.695251e-02 3.291592e-05
1.415071e+00 3.038073e-02 3.816396e-02 3.293057e-05 3.696201e-02 3.292478e-05
1.420071e+00 3.037575e-02 3.817400e-02 3.293936e-05 3.697151e-02 3.293360e-05
1.425071e+00 3.037078e-02 3.818402e-02 3.294812e-05 3.698099e-02 3.294236e-05
1.430072e+00 3.036582e-02 3.819404e-02 3.295682e-05 3.699046e-02 3.295109e-05
1.435072e+00 3.036086e-02 3.820403e-02 3.296549e-05 3.699992e-02 3.295976e-05
1.440072e+00 3.035592e-02 3.821401e-02 3.297410e-05 3.700938e-02 3.296839e-05
