t mart aust
2.566283e-01 1.192669e-02 4.805966e-02
2.571286e-01 1.190789e-02 4.807402e-02
2.576288e-01 1.188912e-02 4.808834e-02
2.581291e-01 1.187038e-02 4.810265e-02
2.586293e-01 1.185167e-02 4.811693e-02
2.591296e-01 1.183299e-02 4.813119e-02
2.596298e-01 1.181435e-02 4.814543e-02
2.601301e-01 1.179573e-02 4.815964e-02
2.606303e-01 1.177714e-02 4.817383e-02
2.611306e-01 1.175859e-02 4.818800e-02
2.616308e-01 1.174007e-02 4.820215e-02
2.621311e-01 1.172158e-02 4.821628e-02
2.626313e-01 1.170312e-02 4.823039e-02
2.631316e-01 1.168469e-02 4.824447e-02
2.636318e-01 1.166629e-02 4.825854e-02
2.641321e-01 1.164792e-02 4.827259e-02
2.646323e-01 1.162958e-02 4.828661e-02
2.651326e-01 1.161127e-02 4.830061e-02
2.656328e-01 1.159299e-02 4.831459e-02
2.661331e-01 1.157475e-02 4.832855e-02
2.666333e-01 1.155653e-02 4.834248e-02
2.671336e-01 1.153835e-02 4.835639e-02
2.676338e-01 1.152019e-02 4.837028e-02
2.681341e-01 1.150206e-02 4.838414e-02
2.686343e-01 1.148397e-02 4.839798e-02
2.691346e-01 1.146590e-02 4.841181e-02
2.696348e-01 1.144787e-02 4.842561e-02
2.701351e-01 1.142986e-02 4.843939e-02
2.706353e-01 1.141189e-02 4.845315e-02
2.711356e-01 1.139394e-02 4.846689e-02
2.716358e-01 1.137603e-02 4.848060e-02
2.721361e-01 1.135814e-02 4.849430e-02
2.726363e-01 1.134029e-02 4.850798e-02
2.731366e-01 1.132246e-02 4.852164e-02
2.736368e-01 1.130466e-02 4.853528e-02
2.741371e-01 1.128690e-02 4.854889e-02
2.746373e-01 1.126916e-02 4.856248e-02
2.751376e-01 1.125145e-02 4.857606e-02
2.756378e-01 1.123377e-02 4.858961e-02
2.761381e-01 1.121612e-02 4.860313e-02
2.766383e-01 1.119850e-02 4.861664e-02
2.771386e-01 1.118091e-02 4.863012e-02
2.776388e-01 1.116335e-02 4.864359e-02
2.781391e-01 1.114582e-02 4.865703e-02
2.786393e-01 1.112832e-02 4.867045e-02
2.791396e-01 1.111084e-02 4.868385e-02
2.796398e-01 1.109340e-02 4.869723e-02
2.801401e-01 1.107598e-02 4.871059e-02
2.806403e-01 1.105859e-02 4.872393e-02
2.811406e-01 1.104124e-02 4.873725e-02
2.816408e-01 1.102391e-02 4.875055e-02
2.821411e-01 1.100661e-02 4.876383e-02
2.826413e-01 1.098933e-02 4.877709e-02
2.831416e-01 1.097209e-02 4.879033e-02
2.836418e-01 1.095488e-02 4.880355e-02
2.841421e-01 1.093769e-02 4.881675e-02
2.846423e-01 1.092053e-02 4.882993e-02
2.851426e-01 1.090340e-02 4.884309e-02
2.856428e-01 1.088630e-02 4.885622e-02
2.861431e-01 1.086923e-02 4.886933e-02
2.866433e-01 1.085219e-02 4.888243e-02
2.871436e-01 1.083517e-02 4.889550e-02
2.876438e-01 1.081818e-02 4.890855e-02
2.881441e-01 1.080122e-02 4.892158e-02
2.886443e-01 1.078429e-02 4.893459e-02
2.891446e-01 1.076739e-02 4.894759e-02
2.896448e-01 1.075051e-02 4.896056e-02
2.901451e-01 1.073367e-02 4.897351e-02
